wallstreetcn-quick | 华尔街见闻
1. 年底“发行战”！超60只新基金定档12月 [URL:https://wallstreetcn.com/livenews/3014172]
2. 2025贺岁档电影票房破20亿元 [URL:https://wallstreetcn.com/livenews/3014169]
3. 中邮证券黄付生：2026年权益市场将进入“长周期、结构性牛市” [URL:https://wallstreetcn.com/livenews/3014168]
4. 小鹏X9超级增程携手华为打造下一代增程发电机 [URL:https://wallstreetcn.com/livenews/3014167]
5. 普京即将访印，克宫就俄印贸易关系表态 [URL:https://wallstreetcn.com/livenews/3014165]
6. 山东：力争到“十五五”末千亿县增加到40个以上 [URL:https://wallstreetcn.com/livenews/3014164]
7. 提醒：日内请重点关注（以下均为北京时间） [URL:https://wallstreetcn.com/livenews/3014163]
8. 早间要闻汇总 [URL:https://wallstreetcn.com/livenews/3014162]
9. 特朗普与巴西总统讨论合作打击有组织犯罪等议题 [URL:https://wallstreetcn.com/livenews/3014160]
10. 日本40年期国债收益率上行3个基点至3.715%。 [URL:https://wallstreetcn.com/livenews/3014159]
11. 荷兰首次确认猫感染禽流感死亡病例 [URL:https://wallstreetcn.com/livenews/3014158]
12. 阿里千问App位列全球AI应用增速榜第一 [URL:https://wallstreetcn.com/livenews/3014157]
13. 汇丰控股公告称，董事会今日委任利伯特为集团主席。 [URL:https://wallstreetcn.com/livenews/3014156]
14. 宁德时代587Ah电芯已出货2GWh，全年出货量预计达3GWh [URL:https://wallstreetcn.com/livenews/3014153]
15. 现货白银一度升0.8%至纪录高点每盎司58.94美元。 [URL:https://wallstreetcn.com/livenews/3014152]
16. 千问APP接入阿里学习模型 [URL:https://wallstreetcn.com/livenews/3014150]
17. 工信部：将继续支持上海当好建设造船强国的排头兵 加快建设长兴岛世界级现代化造船基地 [URL:https://wallstreetcn.com/livenews/3014149]
18. 日经225指数重新站上50000点，日内涨近1.5%。 [URL:https://wallstreetcn.com/livenews/3014148]
19. 中国财政部发行63天期债券，规模400亿元，发行利率1.2891%，边际利率1.3473%，预期1.2900%，投标倍数2.59倍，边际倍数1.39倍； 中国财政部发行91天期债券，规模600亿元，发行利率1.3280%，边际利率1.3845%，预期1.3100%，投标倍数2.27倍，边际倍数2.08倍。 [URL:https://wallstreetcn.com/livenews/3014147]
20. 印度卢比兑美元跌破90关口，继续创记录新低。 [URL:https://wallstreetcn.com/livenews/3014145]
21. 上证指数早盘收报3894.22点，跌0.09%。 深证成指早盘收报13031.26点，跌0.19%。 创业板指早盘收报3055.91点，跌0.50%。 沪深300早盘收报4553.74点，跌0.01%。 科创50早盘收报1314.15点，跌0.45%。 中证500早盘收报7035.17点，跌0.07%。 中证1000早盘收报7276.82点，跌0.50%。 [URL:https://wallstreetcn.com/livenews/3014143]
22. 12月3日午间收评：创业板指冲高回落跌0.5%，超硬材料、煤炭板块逆势走强 [URL:https://wallstreetcn.com/livenews/3014142]
23. 福建省唯一涉海涉渔全产业链国企正式亮相 [URL:https://wallstreetcn.com/livenews/3014140]
24. 国债期货早盘收盘，30年期主力合约跌0.12%，10年期主力合约涨0.04%，5年期主力合约涨0.05%，2年期主力合约涨0.01%。 [URL:https://wallstreetcn.com/livenews/3014139]
25. 联合国报告：金融波动对全球贸易影响加剧 [URL:https://wallstreetcn.com/livenews/3014138]
26. 国台办：坚决反对美国同中国台湾地区进行任何形式的官方往来 [URL:https://wallstreetcn.com/livenews/3014136]
27. 新西兰联储上调贸易加权指数中的美元权重 [URL:https://wallstreetcn.com/livenews/3014135]
28. 马交通部：马航370航班客机残骸搜寻于12月30日重启 [URL:https://wallstreetcn.com/livenews/3014134]
29. 万科空头头寸一度攀升至十年高位 [URL:https://wallstreetcn.com/livenews/3014132]
30. 伊朗议长：美国将自身要求强加于伊朗 [URL:https://wallstreetcn.com/livenews/3014131]

