wallstreetcn-quick | 华尔街见闻
1. LG能源计划扩大储能系统电池产能 [URL:https://wallstreetcn.com/livenews/3013394]
2. 小米汽车：截至今日，自2024年4月3日以来，小米汽车累计交付已超过50万台。 11月交付量持续超过4万台，2025年的交付量已超过了年初设定全年目标：35万台。 [URL:https://wallstreetcn.com/livenews/3013392]
3. 香港特首李家超承诺对大埔火灾进行调查。 [URL:https://wallstreetcn.com/livenews/3013390]
4. 李家超：香港立法会选举将如期举行 [URL:https://wallstreetcn.com/livenews/3013387]
5. 中老铁路开通运营四年累计发送旅客超6250万人次 [URL:https://wallstreetcn.com/livenews/3013386]
6. 我国首套百千瓦级油气伴生废水制氢系统成功投运 [URL:https://wallstreetcn.com/livenews/3013384]
7. “21万科06”跌20%，临时停牌。 [URL:https://wallstreetcn.com/livenews/3013381]
8. 澳大利亚竞争与消费者委员会：谷歌被责令支付5500万澳元罚款。 [URL:https://wallstreetcn.com/livenews/3013379]
9. 澳新银行：日本央行行长植田和男的言论“过早地打出了加息牌” [URL:https://wallstreetcn.com/livenews/3013378]
10. 郑裕彤家族计划出售瑰丽酒店？“目前均正常运营” [URL:https://wallstreetcn.com/livenews/3013375]
11. “21万科04”涨近220%，临时停牌。 [URL:https://wallstreetcn.com/livenews/3013374]
12. 工信部辛国斌率团访问澳大利亚 [URL:https://wallstreetcn.com/livenews/3013367]
13. 宁波舟山港年集装箱吞吐量首次突破4000万箱 [URL:https://wallstreetcn.com/livenews/3013362]
14. “21万科02”和“21万科04”跌超22%，盘中临停。 [URL:https://wallstreetcn.com/livenews/3013361]
15. 奈飞对华纳兄弟探索提出以现金为主的新竞购方案 [URL:https://wallstreetcn.com/livenews/3013358]
16. 国债期货开盘，30年期主力合约跌0.10%，10年期主力合约跌0.04%，5年期主力合约跌0.03%，2年期主力合约涨0.01%。 [URL:https://wallstreetcn.com/livenews/3013348]
17. 中证转债指数低开0.01%。福蓉转债涨12.5%，恒逸转债涨超4%，恒逸转2、福立转债涨超2%；大中转债跌3.8%，航宇转债跌2.2%，东时转债跌1.9%。 [URL:https://wallstreetcn.com/livenews/3013347]
18. AI手机概念延续强势，道明光学4连板，福蓉科技2连板，美芯晟、中兴通讯、传音控股、中石科技等纷纷高开。 [URL:https://wallstreetcn.com/livenews/3013346]
19. 上证指数开盘报3908.46点，跌0.14%。 深证成指开盘报13130.07点，跌0.13%。 创业板指开盘报3091.37点，跌0.04%。 沪深300开盘报4571.91点，跌0.10%。 科创50开盘报1334.00点，跌0.21%。 中证500开盘报7084.80点，跌0.24%。 中证1000开盘报7364.20点，跌0.30%。 [URL:https://wallstreetcn.com/livenews/3013343]
20. 中国央行公开市场开展1563亿元7天期逆回购操作，操作利率1.40%，与前次持平。今日3021亿元逆回购到期。 [URL:https://wallstreetcn.com/livenews/3013341]
21. 恒指高开0.6%，报26188.55点；恒生科技指数涨0.76%。阿里巴巴、快手涨超3%，网易涨1.8%；蔚来跌超6%，小鹏汽车跌1.6%。 [URL:https://wallstreetcn.com/livenews/3013340]
22. 人民币兑美元中间价报7.0794，下调35点；上一交易日中间价7.0759，上一交易日官方收盘价7.0725，上日夜盘报收7.0725。 [URL:https://wallstreetcn.com/livenews/3013338]
23. 特朗普政府将入股芯片初创公司XLIGHT，投资至多1.5亿美元。（华尔街日报） [URL:https://wallstreetcn.com/livenews/3013337]
24. 韩国总统李在明：必须追究Coupang数据泄露造成损失的责任人。在Coupang客户数据泄露事件后，我们必须考虑提高处罚和罚款力度。 [URL:https://wallstreetcn.com/livenews/3013335]
25. 现货黄金跌0.62%，报4205美元。现货白银跌1.88%，报56.88美元。 [URL:https://wallstreetcn.com/livenews/3013334]
26. 台湾证交所加权股价指数上涨1%至27,615.96点。 [URL:https://wallstreetcn.com/livenews/3013333]
27. 三星推出首款三折叠手机Galaxy Z TriFold，售价约为359万韩元（2440.17美元）， 可展开成253.1毫米（10英寸）显示屏，使用三块面板。它比三星最新的可折叠Galaxy Z Fold 7大近25%。 [URL:https://wallstreetcn.com/livenews/3013330]
28. 美联储主席鲍威尔在其斯坦福大学讲话的稿件中未对经济和货币政策发表评论。 [URL:https://wallstreetcn.com/livenews/3013328]
29. 台湾证交所加权股价指数高开0.8%报27,550.35点。 [URL:https://wallstreetcn.com/livenews/3013327]
30. 日媒：日本经团联、议员团接连请求访华 [URL:https://wallstreetcn.com/livenews/3013326]

