wallstreetcn-quick | 华尔街见闻
1. 深圳二手房周录得量创近半年来单周新高 [URL:https://wallstreetcn.com/livenews/2990643]
2. 香港证监会：支持市场推动数字资产基金及代币化基金的监管合规 [URL:https://wallstreetcn.com/livenews/2990642]
3. 沙特3200亿美元养老基金任命Al-Sabty为首席执行官。（彭博） [URL:https://wallstreetcn.com/livenews/2990641]
4. 以军炮击加沙地带中部 [URL:https://wallstreetcn.com/livenews/2990640]
5. 国务院任免国家工作人员。任命陈军生为国家粮食和物资储备局副局长。免去王灵桂的国务院港澳事务办公室副主任职务；免去刘小南的国家粮食和物资储备局副局长职务。 [URL:https://wallstreetcn.com/livenews/2990635]
6. 亚马逊云服务(AWS)：大多数AWS服务运行正常。 [URL:https://wallstreetcn.com/livenews/2990634]
7. 东土科技：正在筹划发行股份等方式购买北京高威科电气技术股份有限公司100%股权，并募集配套资金，股票停牌。 [URL:https://wallstreetcn.com/livenews/2990633]
8. 报道：韩国和美国同意在特朗普访问期间签署贸易谅解备忘录 [URL:https://wallstreetcn.com/livenews/2990631]
9. 多地育儿补贴审核通过，10月底到12月有望陆续发放 [URL:https://wallstreetcn.com/livenews/2990627]
10. 万润科技：“万润科技线上反路演及获得大额订单”为不实信息 [URL:https://wallstreetcn.com/livenews/2990625]
11. 法国巴黎银行：裁决不应扩大适用范围。 任何尝试性的推断必然是错误的。 关于潜在和解的猜测是错误的。 认为没有压力需和解此案。 [URL:https://wallstreetcn.com/livenews/2990624]
12. 法国巴黎银行将对苏丹案裁决结果提出上诉。（彭博） [URL:https://wallstreetcn.com/livenews/2990623]
13. 中国移动：前三季度股东应占利润1154亿元，同比增长4% [URL:https://wallstreetcn.com/livenews/2990622]
14. DeepSeek团队开源新模型DeepSeek-OCR：少量视觉token完成海量文本压缩 [URL:https://wallstreetcn.com/livenews/2990621]
15. 三一重工：公司本次H股发行的价格区间初步确定为20.30港元至21.30港元。 [URL:https://wallstreetcn.com/livenews/2990620]
16. 英国拟授权军队当场击落“威胁军事基地”的无人机 [URL:https://wallstreetcn.com/livenews/2990618]
17. IBM与美国人工智能公司Groq合作，加速企业AI部署 [URL:https://wallstreetcn.com/livenews/2990615]
18. 伊朗武装部队总参谋长：若遭挑衅将作出不同以往回应 [URL:https://wallstreetcn.com/livenews/2990614]
19. 国务院安委办印发通知 为小型餐饮场所消防安全 “加码” [URL:https://wallstreetcn.com/livenews/2990613]
20. 亚马逊云服务(AWS)：云服务在周一中断后已显著恢复。 [URL:https://wallstreetcn.com/livenews/2990612]
21. 中国海油：周心怀先生因任职变化辞任本公司执行董事、副董事长及首席执行官。 [URL:https://wallstreetcn.com/livenews/2990611]
22. 科大讯飞：第三季度净利润1.7亿元，同比增长202.40% [URL:https://wallstreetcn.com/livenews/2990610]
23. 据彭博，三一重工和剑桥科技港股上市交易据悉已获得足额认购。 [URL:https://wallstreetcn.com/livenews/2990606]
24. 日本自民党与维新会就削减议会席位达成一致。 [URL:https://wallstreetcn.com/livenews/2990602]
25. Evercore ISI：将苹果股票纳入战术性跑赢大盘名单。 [URL:https://wallstreetcn.com/livenews/2990597]
26. 法国巴黎银行股价进一步下跌，重挫9.8%，势将创下自2023年3月以来最差单日走势。 [URL:https://wallstreetcn.com/livenews/2990596]
27. 工业富联：拟向全体股东每10股派发现金红利3.3元（含税） [URL:https://wallstreetcn.com/livenews/2990595]
28. 【药捷安康-B：建议实行H股全流通】药捷安康-B公告，于2025年10月20日，本公司董事会已考虑及批准向中国证监会提交申请，将本公司10名股东持有之44,971,128股本公司内资股转换为本公司H股，占本公司于本公告日期已发行股份总数约11.33%。于取得所有相关批准并遵守所有适用法律、法规及规则后，该等内资股将转换为H股，并符合资格于联交所主板上市及买卖。根据本公司章程，毋须再召开股东大会批准转换及上市。 [URL:https://wallstreetcn.com/livenews/2990594]
29. 日本自民党总裁高市早苗：当前政治稳定非常重要。 [URL:https://wallstreetcn.com/livenews/2990593]
30. 克里姆林宫：继续与美国就乌克兰和平问题进行沟通。 [URL:https://wallstreetcn.com/livenews/2990592]

