wallstreetcn-quick | 华尔街见闻
1. 报道：印度市场监管机构负责人称正计划全面改革以吸引外国投资者 [URL:https://wallstreetcn.com/livenews/3003370]
2. 国家发展改革委社会司召开高质量户外运动目的地建设工作部署会 [URL:https://wallstreetcn.com/livenews/3003367]
3. 保加利亚能源部长否认该国燃料储备短缺 [URL:https://wallstreetcn.com/livenews/3003366]
4. 拓斯达：筹划发行H股股票并在香港联合交易所有限公司上市。 [URL:https://wallstreetcn.com/livenews/3003365]
5. 道通科技：拟发行境外上市股份（H股）股票并申请在香港联交所主板挂牌上市。 [URL:https://wallstreetcn.com/livenews/3003364]
6. 印度10月份CPI同比增长0.25%，预估0.40%。 [URL:https://wallstreetcn.com/livenews/3003360]
7. 瑞幸咖啡CEO：公司正准备在美国重新上市。（CNBC） [URL:https://wallstreetcn.com/livenews/3003359]
8. 丸美生物：筹划发行H股股票并申请在香港联合交易所有限公司上市。 [URL:https://wallstreetcn.com/livenews/3003358]
9. 上交所：不断增强市场制度的包容性、适应性，持续提升市场吸引力和竞争力 [URL:https://wallstreetcn.com/livenews/3003357]
10. 工信部公开征求对《国家医药储备管理办法（征求意见稿）》的意见 [URL:https://wallstreetcn.com/livenews/3003356]
11. 前日本央行副行长Wakatabe：GDP势将大幅下滑，食品价格也将下跌。 需要一定规模的经济计划。 [URL:https://wallstreetcn.com/livenews/3003353]
12. 北大医药：公司董事长、总裁徐晰人先生因涉嫌刑事犯罪，已被重庆市江北区人民检察院批准逮捕。 [URL:https://wallstreetcn.com/livenews/3003352]
13. 香农芯创：11月11日，无锡高新区新动能产业发展基金（有限合伙）通过集中竞价累计减持54.92万股。 [URL:https://wallstreetcn.com/livenews/3003350]
14. 美国和沙特阿拉伯正努力敲定防务协议。（Axios） [URL:https://wallstreetcn.com/livenews/3003349]
15. 日本首相高市早苗：货币政策需要为了经济、物价稳定。 政府和日本央行将继续为了经济而携手合作。 [URL:https://wallstreetcn.com/livenews/3003347]
16. 乌克兰司法部长加卢先科涉嫌腐败被解职 [URL:https://wallstreetcn.com/livenews/3003346]
17. 深圳家装补贴带动消费超139亿元 [URL:https://wallstreetcn.com/livenews/3003345]
18. 赵乐际会见西班牙国王费利佩六世 [URL:https://wallstreetcn.com/livenews/3003340]
19. 天际股份：公司控股股东汕头天际于股票交易严重异常波动期间卖出公司股票840万股；实际控制人在公司股票交易严重异常波动期间未买卖公司股票。 [URL:https://wallstreetcn.com/livenews/3003339]
20. 百济神州：第三季度净利润为6.89亿元 [URL:https://wallstreetcn.com/livenews/3003337]
21. 虎牙发布2025年Q3财报：总收入创近9个季度新高，游戏相关服务、广告和其他贡献超三成收入 [URL:https://wallstreetcn.com/livenews/3003336]
22. 部分金饰价突破1310元/克 有银行提高定投门槛至1500元 [URL:https://wallstreetcn.com/livenews/3003334]
23. 百利天恒：鉴于目前的市场情况，公司决定延迟本次H股的全球发售及上市。 [URL:https://wallstreetcn.com/livenews/3003330]
24. 传音控股：拟发行H股股票并在香港上市 [URL:https://wallstreetcn.com/livenews/3003325]
25. 腾讯音乐2025Q3财报业绩稳健，总收入同比增长20.6%达84.6亿元 [URL:https://wallstreetcn.com/livenews/3003324]
26. 英国将禁止英企为俄液化天然气出口提供海运相关服务 [URL:https://wallstreetcn.com/livenews/3003323]
27. 财政部：2024年全国政府采购规模为33750.43亿元 [URL:https://wallstreetcn.com/livenews/3003321]
28. AMD美股盘前涨近6%，CEO苏姿丰预计到2030年AI数据中心市场规模料突破1万亿美元，AMD营收年增或超35%。 [URL:https://wallstreetcn.com/livenews/3003320]
29. 湖北通过银行间债券市场发行科创债166亿元 [URL:https://wallstreetcn.com/livenews/3003319]
30. 中证新交所亚洲精选100系列指数正式发布 [URL:https://wallstreetcn.com/livenews/3003318]

