wallstreetcn-quick | 华尔街见闻
1. Rokid创始人祝铭明：Rokid Glasses销量已达30万台，下半年将上线打车功能 [URL:https://wallstreetcn.com/livenews/2949021]
2. 科技部部长阴和俊出席2025世界人工智能大会暨人工智能全球治理高级别会议 [URL:https://wallstreetcn.com/livenews/2949020]
3. 浦东人工智能种子基金正式发布，总规模20亿元 [URL:https://wallstreetcn.com/livenews/2949019]
4. 泰柬称双方军队继续相互打击 [URL:https://wallstreetcn.com/livenews/2949018]
5. 水利部对北京启动洪水防御Ⅳ级应急响应 [URL:https://wallstreetcn.com/livenews/2949016]
6. 全球首个空间天气链式人工智能预报模型“风宇”正式发布 [URL:https://wallstreetcn.com/livenews/2949010]
7. 国家发改委：2025年上半年社会物流总费用与GDP的比率降至14% [URL:https://wallstreetcn.com/livenews/2949009]
8. 蚂蚁密算开源高阶程序HOP框架 [URL:https://wallstreetcn.com/livenews/2949001]
9. 商汤科技发布「悟能」具身智能平台，让机器人像人一样和现实世界交互 [URL:https://wallstreetcn.com/livenews/2949000]
10. 可灵AI全球用户超4500万，超两万企业客户及开发者接入 [URL:https://wallstreetcn.com/livenews/2948999]
11. 京东发布JoyInside附身智能品牌，数十家主流机器人品牌已接入 [URL:https://wallstreetcn.com/livenews/2948998]
12. 香港财政司司长陈茂波：第二季经济增长势头可望持续 [URL:https://wallstreetcn.com/livenews/2948997]
13. 宇树科技王兴兴：今年上半年全国智能机器人行业平均增速可达50%到100% [URL:https://wallstreetcn.com/livenews/2948996]
14. 年内净流入超8200亿港元，本周29股获得南向资金持股量环比增长超10% [URL:https://wallstreetcn.com/livenews/2948995]
15. 以军称在加沙地带人口稠密区限时战术性停火 [URL:https://wallstreetcn.com/livenews/2948994]
16. 宇树科技王兴兴：AI大语言模型写代码成功率已非常高，大部分软件可超过90% [URL:https://wallstreetcn.com/livenews/2948993]
17. 长三角“人工智能+”数据创新应用联合实验室启动 [URL:https://wallstreetcn.com/livenews/2948992]
18. 迭代速度加快，我国大模型数量居全球首位 [URL:https://wallstreetcn.com/livenews/2948991]
19. 智元机器人发布首个动作驱动世界模型 [URL:https://wallstreetcn.com/livenews/2948990]
20. 美国务卿称特朗普正在对俄“失去耐心” [URL:https://wallstreetcn.com/livenews/2948989]
21. 中国农药工业协会：开展农药行业“正风治卷”三年行动，将抵制低价无序竞争行为 [URL:https://wallstreetcn.com/livenews/2948988]
22. 暑期档票房已破50亿元 [URL:https://wallstreetcn.com/livenews/2948987]
23. 农业防高温干旱三级应急响应启动，力保秋粮丰收 [URL:https://wallstreetcn.com/livenews/2948986]
24. 泰国军方：柬方主动提出谈判，泰柬才有可能实现停火 [URL:https://wallstreetcn.com/livenews/2948985]
25. 阿里国际AI Business获世界人工智能大会SAIL之星 [URL:https://wallstreetcn.com/livenews/2948984]
26. 中国资本市场学会成立大会暨第一届第一次会员代表大会圆满召开 [URL:https://wallstreetcn.com/livenews/2948983]
27. 农业农村部等十部门：促进优质牛肉消费，提高国产奶制品认可度 [URL:https://wallstreetcn.com/livenews/2948982]
28. 农业农村部等十部门发布 《促进农产品消费实施方案》 [URL:https://wallstreetcn.com/livenews/2948980]
29. 腾讯AI应用全景图首次亮相 [URL:https://wallstreetcn.com/livenews/2948979]
30. 腾讯正式发布并开源业界首个的3D世界生成模型 [URL:https://wallstreetcn.com/livenews/2948978]

